Date,USDT/INR
2023-05-11,82.45
2023-05-12,82.46
2023-05-13,82.3
2023-05-14,82.37
2023-05-15,82.23
2023-05-16,82.46
2023-05-17,82.35
2023-05-18,82.3
2023-05-19,82.42
2023-05-20,82.24
2023-05-21,82.27
2023-05-22,82.47
2023-05-23,82.22
2023-05-24,82.25
2023-05-25,82.29
2023-05-26,82.41
2023-05-27,82.22
2023-05-28,82.02
2023-05-29,82.1
2023-05-30,82.15
2023-05-31,82.19
2023-06-01,82.24
2023-06-02,82.14
2023-06-03,82.17
2023-06-04,82.21
2023-06-05,82.11
2023-06-06,82.39
2023-06-07,82.46
2023-06-08,82.28
2023-06-09,82.38
2023-06-10,82.23
2023-06-11,82.35
2023-06-12,82.52
2023-06-13,82.4
2023-06-14,82.54
2023-06-15,82.61
2023-06-16,82.73
2023-06-17,83.01
2023-06-18,82.98
2023-06-19,82.86
2023-06-20,82.73
2023-06-21,82.61
2023-06-22,82.6
2023-06-23,82.65
2023-06-24,82.69
2023-06-25,82.81
2023-06-26,82.82
2023-06-27,83.03
2023-06-28,82.99
2023-06-29,83.4
2023-06-30,83.5
2023-07-01,83.37
2023-07-02,83.21
2023-07-03,83.28
2023-07-04,83.25
2023-07-05,83.35
2023-07-06,83.42
2023-07-07,83.41
2023-07-08,83.29
2023-07-09,83.06
2023-07-10,82.99
2023-07-11,83.12
2023-07-12,83.15
2023-07-13,82.97
2023-07-14,82.99
2023-07-15,83.05
2023-07-16,82.92
2023-07-17,82.94
2023-07-18,82.95
2023-07-19,82.78
2023-07-20,82.83
2023-07-21,82.91
2023-07-22,83.08
2023-07-23,83.24
2023-07-24,83.03
2023-07-25,82.89
2023-07-26,82.97
2023-07-27,83.04
2023-07-28,83.12
2023-07-29,83.7
2023-07-30,83.78
2023-07-31,83.95
2023-08-01,84.1
2023-08-02,84.19
2023-08-03,84.15
2023-08-04,84.26
2023-08-05,84.14
2023-08-06,84.11
2023-08-07,84.04
2023-08-08,84.05
2023-08-09,84.4
2023-08-10,84.12
2023-08-11,84.22
2023-08-12,83.98
2023-08-13,83.91
2023-08-14,84.07
2023-08-15,84.08
2023-08-16,83.92
2023-08-17,83.81
2023-08-18,83.91
2023-08-19,83.8
2023-08-20,83.83
2023-08-21,83.84
2023-08-22,83.74
2023-08-23,84.07
2023-08-24,84.16
2023-08-25,83.86
2023-08-26,83.88
2023-08-27,83.79
2023-08-28,83.91
2023-08-29,83.79
2023-08-30,83.78
2023-08-31,83.85
2023-09-01,83.98
2023-09-02,83.8
2023-09-03,83.75
2023-09-04,83.68
2023-09-05,83.58
2023-09-06,83.85
2023-09-07,83.91
2023-09-08,83.72
2023-09-09,83.86
2023-09-10,84.18
2023-09-11,84.33
2023-09-12,84.1
2023-09-13,84.03
2023-09-14,84.22
2023-09-15,84.11
2023-09-16,84.18
2023-09-17,84.3
2023-09-18,84.16
2023-09-19,84.15
2023-09-20,83.66
2023-09-21,83.51
2023-09-22,83.47
2023-09-23,83.28
2023-09-24,83.53
2023-09-25,83.31
2023-09-26,83.25
2023-09-27,83.27
2023-09-28,83.48
2023-09-29,83.27
2023-09-30,83.44
2023-10-01,83.44
2023-10-02,83.3
2023-10-03,83.37
2023-10-04,83.4
2023-10-05,83.31
2023-10-06,83.32
2023-10-07,83.26
2023-10-08,83.28
2023-10-09,83.38
2023-10-10,83.61
2023-10-11,83.43
2023-10-12,83.75
2023-10-13,83.46
2023-10-14,83.43
2023-10-15,83.52
2023-10-16,83.56
2023-10-17,83.47
2023-10-18,83.44
2023-10-19,83.36
2023-10-20,83.28
2023-10-21,83.4
2023-10-22,83.46
2023-10-23,83.35
2023-10-24,83.49
2023-10-25,83.53
2023-10-26,83.66
2023-10-27,83.75
2023-10-28,83.63
2023-10-29,83.54
2023-10-30,83.65
2023-10-31,83.75
2023-11-01,83.74
2023-11-02,83.76
2023-11-03,83.95
2023-11-04,83.86
2023-11-05,83.95
2023-11-06,83.91
2023-11-07,83.88
2023-11-08,84.05
2023-11-09,84.17
2023-11-10,84.29
2023-11-11,84.49
2023-11-12,84.49
2023-11-13,84.59
2023-11-14,84.55
2023-11-15,84.6
2023-11-16,84.58
2023-11-17,84.59
2023-11-18,84.68
2023-11-19,84.56
2023-11-20,84.87
2023-11-21,84.72
2023-11-22,84.54
2023-11-23,84.71
2023-11-24,84.83
2023-11-25,84.92
2023-11-26,85.02
2023-11-27,85.02
2023-11-28,84.88
2023-11-29,84.89
2023-11-30,84.79
2023-12-01,84.94
2023-12-02,84.92
2023-12-03,84.79
2023-12-04,84.74
2023-12-05,84.81
2023-12-06,84.72
2023-12-07,84.6
2023-12-08,84.63
2023-12-09,84.67
2023-12-10,84.6
2023-12-11,84.52
2023-12-12,84.56
2023-12-13,84.34
2023-12-14,84.13
2023-12-15,84.02
2023-12-16,83.99
2023-12-17,84.04
2023-12-18,84.26
2023-12-19,84.39
2023-12-20,84.36
2023-12-21,84.36
2023-12-22,84.21
2023-12-23,84.21
2023-12-24,84.16
2023-12-25,84.21
2023-12-26,84.09
2023-12-27,84.17
2023-12-28,84.4
2023-12-29,84.38
2023-12-30,84.44
2023-12-31,84.54
2024-01-01,84.48
